     63    Intel(R) Xeon(R) CPU E5-2676 v3 @ 2.40GHz
     63    Intel(R) Xeon(R) CPU @ 2.60GHz
     63    Intel(R) Core(TM) i7 CPU         960  @ 3.20GHz
     63    Intel(R) Core(TM) i7-4710MQ CPU @ 2.50GHz
     63    Intel(R) Core(TM) i3-3120M CPU @ 2.50GHz
     63    Intel(R) Core(TM)2 CPU          4300  @ 1.80GHz
     63    Intel(R) Celeron(R) CPU          900  @ 2.20GHz
     63    AMD A4-6300 APU with Radeon(tm) HD Graphics     
     62    Intel(R) Xeon(R) CPU E5-2690 v3 @ 2.60GHz
     62    Intel(R) Xeon(R) CPU E5-2670 v3 @ 2.30GHz
     62    Intel(R) Core(TM) i3-2328M CPU @ 2.20GHz
     62    AMD A10-7850K Radeon R7, 12 Compute Cores 4C+8G 
     61    Pentium(R) Dual-Core  CPU      E6700  @ 3.20GHz
     61    Intel(R) Xeon(R) CPU           W3550  @ 3.07GHz
     61    Intel(R) Pentium(R) CPU        P6200  @ 2.13GHz
     61    Intel(R) Core(TM) i5-2500S CPU @ 2.70GHz
     61    Intel(R) Core(TM) i3-4130T CPU @ 2.90GHz
     61    Intel(R) Core(TM)2 Duo CPU E7600 @ 3.06GHz
     60    Intel(R) Pentium(R) M processor 1.73GHz
     60    Intel(R) Core(TM) i7 CPU       X 980  @ 3.33GHz
     60    ARMv6-compatible processor rev 7 (v6l)
     60    AArch64 Processor rev 0 (aarch64)
     59    Intel(R) Core(TM) i7-2640M CPU @ 2.80GHz
     59    Intel(R) Core(TM) i3-2370M CPU @ 2.40GHz
     59    Intel(R) Core(TM)2 Quad  CPU   Q9550  @ 2.83GHz
     59    ARMv7 Processor rev 9 (v7l)
     59    AMD E-300 APU with Radeon(tm) HD Graphics 
     59    AMD A8-5500 APU with Radeon(tm) HD Graphics     
     59    AMD A10-7800 Radeon R7, 12 Compute Cores 4C+8G  
     58    Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz
     58    Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz
     58    Intel(R) Xeon(R) CPU E5-1620 v2 @ 3.70GHz
     58    Intel(R) Core(TM) i7-4702MQ CPU @ 2.20GHz
     58    Intel(R) Celeron(R) CPU G530 @ 2.40GHz
     58    AMD Phenom(tm) II X6 1045T Processor 
     58    AMD Opteron(TM) Processor 6220 
     58    AMD Athlon(tm) 64 X2 Dual Core Processor 3600+ 
     57    Intel(R) Core(TM)2 Duo CPU     T5800  @ 2.00GHz
     57    AMD Phenom(tm) II X4 925 Processor 
     56    Quad-Core AMD Opteron(tm) Processor 2378 
     56    Quad-Core AMD Opteron(tm) Processor 2356 
     56    Intel(R) Xeon(R) CPU 
     56    Intel(R) Celeron(R) CPU  N2830  @ 2.16GHz
     56    AMD FX(tm)-8120 Eight-Core Processor 
     55    Pentium(R) Dual-Core  CPU      E6600  @ 3.06GHz
     55    Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
     55    Intel(R) Core(TM) i5 CPU       M 480  @ 2.67GHz
     55    Intel(R) Core(TM) i5 CPU 750 @ 2.67GHz
     55    Intel(R) Core(TM) i5-4210M CPU @ 2.60GHz
     55    Intel(R) Core(TM) i5-3550S CPU @ 3.00GHz
     55    Intel(R) Core(TM)2 Quad CPU    Q6700  @ 2.66GHz
     55    Intel(R) Core(TM)2 Duo CPU     T6400  @ 2.00GHz
     55    Intel(R) Celeron(R) CPU  N3050  @ 1.60GHz
     55    AMD Athlon(tm) 64 Processor 3500+ 
     55    AMD Athlon(tm) 64 Processor 3000+ 
     54    Intel(R) Pentium(R) CPU B950 @ 2.10GHz
     54    Intel(R) Core(TM) i7 CPU       Q 740  @ 1.73GHz
     54    Intel(R) Core(TM) i7-6820HQ CPU @ 2.70GHz
     54    Intel(R) Celeron(R) CPU 1037U @ 1.80GHz
     54    AMD E1-1200 APU with Radeon(tm) HD Graphics 
     53    Intel(R) Xeon(R) CPU           E5205  @ 1.86GHz
     53    Intel(R) Core(TM) i7 CPU       M 620  @ 2.67GHz
     53    Intel(R) Core(TM) i7 CPU 950 @ 3.07GHz
     53    Intel(R) Core(TM) i7 CPU 860 @ 2.80GHz
     53    Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz
     53    Intel(R) Core(TM) i3-5010U CPU @ 2.10GHz
     53    AMD Sempron(tm) Processor 3000+ 
     53    AMD Athlon(tm) II X4 620 Processor 
     53    AMD A8-6410 APU with AMD Radeon R5 Graphics     
     53    AMD A6-6400K APU with Radeon(tm) HD Graphics    
     53    AMD A6-6310 APU with AMD Radeon R4 Graphics     
     52    Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz
     52    Genuine Intel(R) CPU           T2300  @ 1.66GHz
